"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 29 16:52:31 GMT 2022","Thu Sep 29 16:52:33 GMT 2022","2068","","Verify tabs on home page without login","","","","should hover on Pricing tab and open drop-down menu",""
"passed","Thu Sep 29 16:51:32 GMT 2022","Thu Sep 29 16:51:48 GMT 2022","16607","","Verify clickability buttons","","","","should open solutions drop-down menu and click contack center button, then click phone calss button and go back, then click text messages button and go back. and click browser-based comms button",""
"failed","Thu Sep 29 16:51:18 GMT 2022","Thu Sep 29 16:51:24 GMT 2022","5089","","Find price for sms api for Ukraine in usd and euro","","","","should open pricing drop-down menu and click SMS Api button, then choose Ukraine from drop-down and chosse euro from currency drop-down and find cost in euro",""
"passed","Thu Sep 29 16:50:10 GMT 2022","Thu Sep 29 16:50:26 GMT 2022","16675","","Verify saving calculator","","","","should open resource drop-down menu and click Saving calculator,then choose Messaging Api button cnd click continue button, then type '1' to the Local Numbers input and type '1' to the Toll-free Numbers and click continue button again",""
"passed","Thu Sep 29 16:51:57 GMT 2022","Thu Sep 29 16:52:05 GMT 2022","7521","","Verify home page button","","","","should click about u button and than click home page button",""
"passed","Thu Sep 29 16:52:36 GMT 2022","Thu Sep 29 16:52:38 GMT 2022","2352","","Verify tabs on home page without login","","","","should hover on Solution tab and open drop-down menu",""
"passed","Thu Sep 29 16:52:38 GMT 2022","Thu Sep 29 16:52:41 GMT 2022","2620","","Verify tabs on home page without login","","","","should hover on Resource tab and open drop-down menu",""
"passed","Thu Sep 29 16:52:13 GMT 2022","Thu Sep 29 16:52:20 GMT 2022","6713","","Verify seaarch input ","","","","should open resource drop-down menu and click Blog button,then type t the input field 'number pool' and click enter",""
"passed","Thu Sep 29 16:50:35 GMT 2022","Thu Sep 29 16:50:48 GMT 2022","12560","","Negative Log In tests","","","","should login with invalid email",""
"passed","Thu Sep 29 16:50:48 GMT 2022","Thu Sep 29 16:50:58 GMT 2022","10103","","Negative Log In tests","","","","should login with invalid password",""
"passed","Thu Sep 29 16:52:28 GMT 2022","Thu Sep 29 16:52:31 GMT 2022","3450","","Verify tabs on home page without login","","","","should hover on Company tab and open drop-down menu",""
"passed","Thu Sep 29 16:52:41 GMT 2022","Thu Sep 29 16:52:44 GMT 2022","3467","","Verify tabs on home page without login","","","","should click on RNetwork tab and redirect to network page",""
"passed","Thu Sep 29 16:51:10 GMT 2022","Thu Sep 29 16:51:18 GMT 2022","8185","","Find price for sms api for Ukraine in usd and euro","","","","should open pricing drop-down menu and click SMS Api button, then choose Ukraine from drop-down and find cost in usd",""
"passed","Thu Sep 29 16:52:33 GMT 2022","Thu Sep 29 16:52:36 GMT 2022","2130","","Verify tabs on home page without login","","","","should hover on Products tab and open drop-down menu",""
