"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 04 09:58:22 GMT 2022","Tue Oct 04 09:58:25 GMT 2022","2948","","Verify tabs on home page without login","","","","should hover on Resource tab and open drop-down menu",""
"passed","Tue Oct 04 09:56:44 GMT 2022","Tue Oct 04 09:56:52 GMT 2022","8299","","Find price for sms api for Ukraine in usd and euro","","","","should open pricing drop-down menu and click SMS Api button, then choose Ukraine from drop-down and find cost in usd",""
"passed","Tue Oct 04 09:57:40 GMT 2022","Tue Oct 04 09:57:47 GMT 2022","7482","","Verify home page button","","","","should click about u button and than click home page button",""
"passed","Tue Oct 04 09:58:17 GMT 2022","Tue Oct 04 09:58:19 GMT 2022","2034","","Verify tabs on home page without login","","","","should hover on Products tab and open drop-down menu",""
"passed","Tue Oct 04 09:57:56 GMT 2022","Tue Oct 04 09:58:04 GMT 2022","7478","","Verify seaarch input ","","","","should open resource drop-down menu and click Blog button,then type t the input field 'number pool' and click enter",""
"passed","Tue Oct 04 09:55:42 GMT 2022","Tue Oct 04 09:55:57 GMT 2022","15149","","Verify saving calculator","","","","should open resource drop-down menu and click Saving calculator,then choose Messaging Api button cnd click continue button, then type '1' to the Local Numbers input and type '1' to the Toll-free Numbers and click continue button again",""
"passed","Tue Oct 04 09:58:11 GMT 2022","Tue Oct 04 09:58:15 GMT 2022","3556","","Verify tabs on home page without login","","","","should hover on Company tab and open drop-down menu",""
"passed","Tue Oct 04 09:56:23 GMT 2022","Tue Oct 04 09:56:32 GMT 2022","9449","","Negative Log In tests","","","","should login with invalid password",""
"passed","Tue Oct 04 09:58:25 GMT 2022","Tue Oct 04 09:58:29 GMT 2022","3841","","Verify tabs on home page without login","","","","should click on RNetwork tab and redirect to network page",""
"passed","Tue Oct 04 09:58:19 GMT 2022","Tue Oct 04 09:58:22 GMT 2022","2319","","Verify tabs on home page without login","","","","should hover on Solution tab and open drop-down menu",""
"passed","Tue Oct 04 09:56:09 GMT 2022","Tue Oct 04 09:56:23 GMT 2022","13546","","Negative Log In tests","","","","should login with invalid email",""
"passed","Tue Oct 04 09:56:52 GMT 2022","Tue Oct 04 09:57:02 GMT 2022","9784","","Find price for sms api for Ukraine in usd and euro","","","","should open pricing drop-down menu and click SMS Api button, then choose Ukraine from drop-down and chosse euro from currency drop-down and find cost in euro",""
"passed","Tue Oct 04 09:58:15 GMT 2022","Tue Oct 04 09:58:17 GMT 2022","2138","","Verify tabs on home page without login","","","","should hover on Pricing tab and open drop-down menu",""
"passed","Tue Oct 04 09:57:11 GMT 2022","Tue Oct 04 09:57:30 GMT 2022","19161","","Verify clickability buttons","","","","should open solutions drop-down menu and click contack center button, then click phone calss button and go back, then click text messages button and go back. and click browser-based comms button",""
