"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 29 15:43:38 GMT 2022","Thu Sep 29 15:43:41 GMT 2022","2747","","Verify tabs on home page without login","","","","should hover on Solution tab and open drop-down menu",""
"passed","Thu Sep 29 15:43:30 GMT 2022","Thu Sep 29 15:43:32 GMT 2022","2933","","Verify tabs on home page without login","","","","should hover on Company tab and open drop-down menu",""
"passed","Thu Sep 29 15:41:54 GMT 2022","Thu Sep 29 15:42:05 GMT 2022","11421","","Find price for sms api for Ukraine in usd and euro","","","","should open pricing drop-down menu and click SMS Api button, then choose Ukraine from drop-down and chosse euro from currency drop-down and find cost in euro",""
"passed","Thu Sep 29 15:41:44 GMT 2022","Thu Sep 29 15:41:54 GMT 2022","10165","","Find price for sms api for Ukraine in usd and euro","","","","should open pricing drop-down menu and click SMS Api button, then choose Ukraine from drop-down and find cost in usd",""
"passed","Thu Sep 29 15:40:31 GMT 2022","Thu Sep 29 15:40:47 GMT 2022","16137","","Verify saving calculator","","","","should open resource drop-down menu and click Saving calculator,then choose Messaging Api button cnd click continue button, then type '1' to the Local Numbers input and type '1' to the Toll-free Numbers and click continue button again",""
"passed","Thu Sep 29 15:43:41 GMT 2022","Thu Sep 29 15:43:44 GMT 2022","3235","","Verify tabs on home page without login","","","","should hover on Resource tab and open drop-down menu",""
"passed","Thu Sep 29 15:43:33 GMT 2022","Thu Sep 29 15:43:36 GMT 2022","3309","","Verify tabs on home page without login","","","","should hover on Pricing tab and open drop-down menu",""
"passed","Thu Sep 29 15:43:12 GMT 2022","Thu Sep 29 15:43:20 GMT 2022","8636","","Verify seaarch input ","","","","should open resource drop-down menu and click Blog button,then type t the input field 'number pool' and click enter",""
"passed","Thu Sep 29 15:43:36 GMT 2022","Thu Sep 29 15:43:38 GMT 2022","2532","","Verify tabs on home page without login","","","","should hover on Products tab and open drop-down menu",""
"passed","Thu Sep 29 15:42:51 GMT 2022","Thu Sep 29 15:43:00 GMT 2022","8940","","Verify home page button","","","","should click about u button and than click home page button",""
"passed","Thu Sep 29 15:41:03 GMT 2022","Thu Sep 29 15:41:17 GMT 2022","13614","","Negative Log In tests","","","","should login with invalid email",""
"passed","Thu Sep 29 15:42:16 GMT 2022","Thu Sep 29 15:42:38 GMT 2022","22182","","Verify clickability buttons","","","","should open solutions drop-down menu and click contack center button, then click phone calss button and go back, then click text messages button and go back. and click browser-based comms button",""
"failed","Thu Sep 29 15:41:17 GMT 2022","Thu Sep 29 15:41:30 GMT 2022","13310","","Negative Log In tests","","","","should login with invalid password",""
"passed","Thu Sep 29 15:43:45 GMT 2022","Thu Sep 29 15:43:49 GMT 2022","4831","","Verify tabs on home page without login","","","","should click on RNetwork tab and redirect to network page",""
