"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 29 17:02:35 GMT 2022","Thu Sep 29 17:02:39 GMT 2022","3812","","Verify tabs on home page without login","","","","should click on RNetwork tab and redirect to network page",""
"passed","Thu Sep 29 17:02:30 GMT 2022","Thu Sep 29 17:02:32 GMT 2022","2394","","Verify tabs on home page without login","","","","should hover on Solution tab and open drop-down menu",""
"passed","Thu Sep 29 17:02:05 GMT 2022","Thu Sep 29 17:02:13 GMT 2022","7663","","Verify seaarch input ","","","","should open resource drop-down menu and click Blog button,then type t the input field 'number pool' and click enter",""
"passed","Thu Sep 29 17:01:46 GMT 2022","Thu Sep 29 17:01:54 GMT 2022","8394","","Verify home page button","","","","should click about u button and than click home page button",""
"passed","Thu Sep 29 17:01:15 GMT 2022","Thu Sep 29 17:01:35 GMT 2022","20525","","Verify clickability buttons","","","","should open solutions drop-down menu and click contack center button, then click phone calss button and go back, then click text messages button and go back. and click browser-based comms button",""
"passed","Thu Sep 29 17:00:43 GMT 2022","Thu Sep 29 17:00:54 GMT 2022","11829","","Find price for sms api for Ukraine in usd and euro","","","","should open pricing drop-down menu and click SMS Api button, then choose Ukraine from drop-down and find cost in usd",""
"passed","Thu Sep 29 17:00:55 GMT 2022","Thu Sep 29 17:01:04 GMT 2022","9781","","Find price for sms api for Ukraine in usd and euro","","","","should open pricing drop-down menu and click SMS Api button, then choose Ukraine from drop-down and chosse euro from currency drop-down and find cost in euro",""
"passed","Thu Sep 29 17:00:18 GMT 2022","Thu Sep 29 17:00:30 GMT 2022","12148","","Negative Log In tests","","","","should login with invalid password",""
"passed","Thu Sep 29 17:02:27 GMT 2022","Thu Sep 29 17:02:30 GMT 2022","2410","","Verify tabs on home page without login","","","","should hover on Products tab and open drop-down menu",""
"passed","Thu Sep 29 17:02:25 GMT 2022","Thu Sep 29 17:02:27 GMT 2022","2349","","Verify tabs on home page without login","","","","should hover on Pricing tab and open drop-down menu",""
"passed","Thu Sep 29 16:59:37 GMT 2022","Thu Sep 29 16:59:55 GMT 2022","17767","","Verify saving calculator","","","","should open resource drop-down menu and click Saving calculator,then choose Messaging Api button cnd click continue button, then type '1' to the Local Numbers input and type '1' to the Toll-free Numbers and click continue button again",""
"passed","Thu Sep 29 17:02:21 GMT 2022","Thu Sep 29 17:02:25 GMT 2022","3796","","Verify tabs on home page without login","","","","should hover on Company tab and open drop-down menu",""
"passed","Thu Sep 29 17:00:05 GMT 2022","Thu Sep 29 17:00:18 GMT 2022","12729","","Negative Log In tests","","","","should login with invalid email",""
"passed","Thu Sep 29 17:02:32 GMT 2022","Thu Sep 29 17:02:35 GMT 2022","3220","","Verify tabs on home page without login","","","","should hover on Resource tab and open drop-down menu",""
